a	एक
foreclose	वर्जित करना,कब्ज़ा करना
foreclosure	कब्जा कर लेना
forecourt	अग्र प्रांगण
foredoomed	असफलता का पूर्वाभास
forefather	पूर्वज
forefinger	तर्जनी
forefoot	अगला पैर
forefront	अग्र स्थान
forego	त्यागएना
foregoing	पूर्ववर्ती
foregone	पूर्व निश्चित
foreground	अग्रभूमि,सर्वप्रमुख स्थान
forehand	टेनिस की चालल
forehead	माथा
foreign	विदेशी
foreigner	परदेशी,विदेशी
foreknowledge	पूर्वज्ञान
foreland	उच्च अंतरीप
foreleg	अगली टांग
forelock	अलक
forelplay	चुम्बन आदि कामुक क्रियाएं
foreman	फोरमैन,ज्यूरीप्रमुख
foremost	मुख्यतः,सर्वश्रेष्ठ,सबसे आगे का
forename	प्रथम नाम
forensic	अदालती,न्यायालयीय
foreordained	पूर्व-निर्धारित
foreordination	भाग्य,प्रारब्ध
foreplay	संभोग की पूर्व क्रीड़ा
forerunner	अग्रदूत
foresee	अनुमान लगाना,अंदाज लगा लेना
foreseeable	पूर्वाभास के योग्य
foreshadow	पूर्वाभास देना
foreshore	अग्रतट
foreshorten	अग्रसंक्षेपण करना
foresight	दूरदृष्टि
foreskin	शिश्नाग्रच्छद
forest	बन,जंगल
forestall	पहले से ही रोकना,रोकथाम
forestalling	पहले से ही निवारण
forested	वनाच्छादित
forester	वन रक्षक
forestry	वन निर्माण
foretaste	पूर्वानुभव
foretell	भविष्यवाणी
foretelling	भविष्यवाणी
forethought	पूर्वविचारित,पूर्व विचार
forever	सदा के लिए,सर्वदा
forewarn	पूर्व सूचना देना
forewarning	चेतावनी,पूर्वसूचना
foreword	प्राक्कथन,प्रस्तावना
forfeit	जुरमाना
forfeiture	ज़ब्ती
forgather	मिलना,भेंट करना
forge	भटटी,गढ़ना,जालसाजी
forged	जाली
forgeman	लुहार
forger	जालसाज़
forgery	नकली,जालसाज़ी,नकल
forget	भूल जाना
forgetful	लापरवाह,भुलक्कड़
forgetfully	भुलक्कड़पन से
forgetfulness	भूलक्कड़पन
forgettable	भूल जाने लायक
forging	गढ़ाई,गढ़ी वस्तु,जालसाजी
forgivable	क्षम्य
forgive	क्षमा करना
forgiveness	क्षमा
forgiving	क्षमाशाील
forgo	से परहेज करना
forgotten	भूला.बिसरा,भूला हुआ,विस्मृत,प्रस्मृत
fork	काॅटा,द्विषाखन
forked	काँटेदार,द्विशाखित
forlorn	परित्यक्त,असहाय
forlornly	दयनीय भाव से
form	रूप,आकार,प्रपत्र,दषा,ढालना
formal	ओपचारिक
formaldehyde	एक प्रकार की गैस
formalisation	औपचारीकरण
formalise	निष्चित रूप देना,औपचारिक रूप देना
formalism	रूपवाद
formalist	रूपवादी,रूपवादी
formality	औपचारिकता,तकल्लुफ
formalization	औपचारीकरण
formalize	निष्चित रूप देना,औपचारिक रूप देना
formally	औपचारिक रूप से,विधिवत रूप से
format	ग्रन्थाकार
formation	निर्माण,रचना,गठन,संघटन
formative	रचनात्मक
former	पुराना,भूतपूर्व
formerly	पहले,इस्से पूर्व,पहले जैसे,पहले जैसे,विगत काल में
formic	फार्मिक,चीटियों का
formidability	विकटता
formidable	विकट,कठिन
formidably	दुर्जेय रूप से
formless	निराकार,बेढं़गा
formlessness	आकारहीनता
formula	सूत्र
formulaic	सूत्रित
formulate	सूत्रबद्ध,प्रतिपादन
formulation	सूत्रीकरण,निरूपण
fornicate	व्यभिचार करना
fornication	परस्त्रीगमन
fornicator	परस्त्रीगामी,व्यभिचारी
forsake	छोड़ देना
forsaken	पूर्णतया परित्यक्त
forsaking	त्याग
forsooth	निस्सन्देह
forswear	शपथपूर्वक त्यागना
fort	किला
forte	विशेष योग्यता,विषिष्टता
forth	सामने,आगे
forthcoming	आसन्न
